nombre,valor
TOPPER SG (LAB4170),759842
CABEZAL JCM UBA 10 (LAB0092),306600
MINI PC EBOX (LAB2045),265000
CABEZAL MEI C.F SC6607 RS232 (LAB0096),180000
FUENTE 750W WMS BB2 & BLADE (LAB0413),570010
FUENTE 20W 5V 4A E-BOX WIGOS (LAB2118),73213.23
TECLADO OLED WMS BB2 (LAB1066),868700
IMPRESORA GEN2 UNIVERSAL RS232 (LAB0467),277000
MONITOR 22' WMS BB2 S/TOUCH (LAB0626),205200
CABEZAL MEI ADVAN SCN6607RS232 (LAB2690),433350
CABEZAL ARDAC RS232 (LAB0090),367920
MONITOR 19' ARISTOCRAT VIRIDIAN (LAB0603),212760
PCB I/O B/A MEI 2 SWITCHES (LAB0761),54750
IMPRESORA GEN2 RS232 (LAB0466),159000
FUENTE 440W IGT AVP (LAB0408),244800
CABEZAL MEI ADVANC SCN8347 (LAB0094),616320
FUENTE 20W 5V 4A DISPLAY WIGOS (LAB2119),73213.23
MONITOR 22' WMS BB2 C/TOUCH (LAB0625),245000
MONITOR 19' IGT TRIMLINE (LAB0596),369266.87
MONITOR 22' KORTEX ARISTOCRAT (LAB3128),244800
IMPRESORA GEN2 NETPLEX (LAB0465),259000
PCB I/O B/A MEI 1 SWITCH (LAB0760),54750
IMPRESORA ITHACA 950 (LAB0470),339420
FUENTE 300W WMS BB1 (LAB0406),250390
PCB HUB 7 PUERTOS USB IGT AVP (LAB0757),213393
FUENTE 300W IGT S200/GK+/ST/TL (LAB0404),279225
FUENTE COM ZPAY 232 (LAB2360),80200
REPARACIONES EXTRAS LAB (LAB0922),50000
CPU BRAINBOX 3.0 IGT AVP (LAB0309),336000
FUENTE 12V BRAIN BOX IGT AVP (LAB0394),272000
CABEZAL MEI ADVANCE 6602U USB (LAB0095),433350
MONITOR 22' KONAMI (LAB2105),324000
FUENTE 400 MK7 ARISTOCRAT VIR (LAB1191),208600
TV CARTEL ZITRO (LAB5288),310000
CABEZAL JCM UBA 10 REFURBISHED (LAB4823),193456.23
PCB VIDEO CPU NXTII WMS BB2 (LAB0795),498000
FUENTE 12V 4.16A MONITOR 15' (LAB0392),60115.2
FUENTE SWITCHING P268 ELECTRO (LAB0439),19200
FUENTE 12V 5A (LAB0393),26581.1
PCB VIDEO CPU WMS BLADE NXT3 (LAB3839),939900
CABEZAL ARDAC NETPLEX (LAB0089),100000
TECLADO OLED SG DUALOS (LAB3925),1575000
MONITOR 19' LCD IGT SLANT (LAB0597),252250
MONITOR 20' TRC ARISTOCRAT MK6 (LAB0610),28800
MONITOR 19' INTERBLOCK (LAB4513),2759400
IMPRESORA GEN1 (LAB0464),32400
MONITOR 23' TOP IGT AVP G23 (LAB0630),237240
FUENTE 12V 3A (LAB1236),4119.2
CPU NXTII WMS BB2 (LAB0321),1686300
PCB CONTR TOUCH 3M RS232 (LAB0729),51236
PCB BACKPLANE IGT AVP G20 V2 (LAB0697),314776
MONITOR 22' MAIN IGT AVP G22 (LAB0619),342735
FUENTE 300W MPU BALLY ALPHA 9K (LAB0405),54000
CPU BALLY ALPHA 2 K620 (LAB1640),2708300
"TV 43"" CARTEL ZITRO  (LAB5255)",300000
STACKER B/A MEI (LAB2982),206687
PCB CONTR REEL WMS BB2 (LAB0727),206000
MONITOR 22' NOVOMATIC (LAB0621),180000
MONITOR 19' WMS BB1 (LAB0604),277035
FUENTE 5V/12V BALLY ALPHA 9K (LAB0412),72000
FUENTE 150W MONITOR TOP IGT AV (LAB0397),144000
TECLADO WMS BB2 V2 SPLASH (LAB1067),868700
MONITOR 23' MAIN IGT AVP G23 (LAB0629),766500
DISPLAY WIGOS  (LAB2044),200000
CPU 044 IGT GK+/SLANT/TRIMLINE (LAB0304),234000
PCB STORAGE IGT AVP (LAB1234),293422.5
PCI CARD VERDE IGT SAFE STORAGE (LAB0776),207270
PCB SERIAL MTR CONT LIGHT IGT (LAB0734),385250
MONITOR 20' MAIN IGT AVP G20 (LAB0609),480000
CPU BALLY ALPHA 2 PRO V32 (LAB4030),2708300
CABEZAL JCM IVIZION (LAB0091),214569
PCI CARD VERDE IGT SAFE STORAGE  (LAB0776),207270
PCB CPU-OLED IGT AVP 75401300W (LAB0738),237104
MONITOR 21.5 RUL GOLD CLUB (LAB4717),1080000
MONITOR 20.1' TOP IGT AVP G20 (LAB0614),235440
DISPLAY WIGOS (LAB2044),200000
STACKER B/A ARDAC (LAB1037),40880
PCB CONTR IGT AVP V2 MANIJ AMA (LAB0718),240000
MONITOR 22' LAVA WMS (LAB0616),347225
IMPRESORA GEN 3 EVOLUTION (LAB0463),215478
CABEZAL JCM UBA 14 (LAB2540),306600
TECLADO OLED WMS BLADE (LAB3918),1099000
MONITOR 19' KONAMI SLANTOP (LAB3695),180000
CPU IMPU BALLY ALPHA 2 (LAB0315),1215488
CPU ARISTO GEN8 HLT PN170345-1 (LAB2618),679000
PCB BACKPLANE WMS BB1/BB2/BLAD (LAB0702),72000
MONITOR TV 42' LED (LAB0655),80000
MONITOR 22' TOP IGT G22 SMLD (LAB0623),376989.21
FUENTE 24V BALLY ALPHA 9K (LAB0401),0
PCB BACKPLANE SG TWIN/J43/DUAL (LAB3928),1890000
MONITOR 32' AINSW A560-S32 (LAB3843),360000
MONITOR 22' PPAL ANISW A560H (LAB3846),640000
FUENTE 500W PC (LAB0411),0
CPU AINSTWORTH A560 (LAB3127),1080000
CPU 039 IGT GK+/SLANT (LAB0302),130000
PCB I/O PUERTA IGT S2K/GK+/ST (LAB0766),96896
PCB HDMI-FLEX IGT AVP (LAB0756),88832
MONITOR 22' WS GENERICO C/DVI (LAB0627),133000
MONITOR 22' BALLY ALPHA 2 (LAB0615),196920
FUENTE MONITOR BALLY V32 (LAB2349),62415
FUENTE 12V 10A MONITOR NOVOMATIC (LAB0388),64800
CPU NTX WMS BB1 (LAB0320),159885
CPU BALLY ALPHA 9000 (LAB0308),200000
CPU ARISTOCRAT VIRIDIAN 19 (LAB0306),262800
B/A JCM UBA 10 (LAB0036),613200
TECLADO IDECK SG/BALLY V22/22 (LAB4771),900000
PCB VIDEO WMS BLADE NXT3 REFUR (LAB4809),916500
PCB I/O IMPRESORA GEN1 RS232 (LAB0765),0
MONITOR 27' SUP AINSW A560-ST (LAB3909),562333
FUENTE DOBLE E-BOX/DISPL WIGOS (LAB3605),357700
FUENTE 24V 4A IMPRESORA (LAB0402),60000
CPU SG TWINSTAR/J43/DUALOS (LAB3927),451724
CPU ARISTOCRAT VIRIDIAN WS (LAB0307),1190000
CPU 039 IGT S2000 (LAB0303),130000
PCB VIDEO NVID QUADRO K620 BAL (LAB2543),690065
PCB MOTHERBOARD KONAMI (LAB0773),306600
PCB CONTROL LUCES SG J43/TWIST (LAB4164),137000
PCB BACKPLANE IGT AXXIS/CRYSTA (LAB3995),807380
PCB BACKPLANE 039 IGT GK+/SLAN (LAB0771),52650
MONITOR 32' BALLY V32 (LAB3940),291960
MONITOR 19' BALLY M9000 (LAB0590),90000
LECTORA DVD ATRONIC (LAB0508),0
IMPRESORA GEN 5 PSA-66-ST5 RS2 (LAB3869),461477.5
FUENTE SWITCHING P267 ELECTRO (LAB0438),36000
FUENTE 5/12/24V SG TW ST Y A2 (LAB0410),405000
TECLADO IDECK SG TWINSTAR/J43 (LAB3930),882360
STACKER B/A JCM UBA 10 (LAB1039),13464
PCB COMM SPC 2.5 ARISTOCRAT (LAB0706),93240
MONITOR 24' PPAL AINSW A560-ST (LAB3916),1950000
MONITOR 22' LED PC SAMSUNG (LAB0617),75000
